key,rank
vit_03s0038g00630,333
vit_01s0011g02840,334
vit_02s0033g01020,335
vit_14s0083g01100,336
vit_14s0108g01570,337
vit_10s0092g00250,338
vit_07s0005g00590,339
vit_08s0007g01110,340
vit_15s0048g01590,341
vit_01s0010g03850,342
vit_05s0020g01120,343
vit_18s0001g11090,344
vit_07s0005g05930<br>vit_07s0005g05910<br>vit_07s0005g05920,345
vit_16s0098g00800,346
vit_06s0004g07950,347
vit_07s0005g01710,348
vit_08s0058g01070,349
vit_18s0122g00670,350
vit_18s0001g08490,351
vit_14s0006g02070,352
vit_18s0076g00210,353
vit_09s0002g05230,354
vit_18s0122g01440,355
vit_09s0002g00340,356
vit_11s0016g00590,357
vit_06s0009g03350,358
vit_12s0028g01590,359
vit_11s0016g00290,360
vit_07s0104g00570,361
vit_16s0050g01950,362
vit_14s0081g00120,363
vit_01s0127g00120,364
vit_18s0001g03240,365
vit_11s0016g02760,366
vit_09s0002g01540,367
vit_11s0016g05340,368
vit_03s0038g04730,369
vit_14s0060g00580,370
vit_00s0279g00100,371
vit_18s0166g00300,372
vit_08s0040g01040,373
vit_04s0023g02070,374
vit_12s0059g01280,375
vit_13s0019g00890,376
vit_09s0054g01080,377
vit_11s0016g03030,378
vit_18s0001g04180,379
vit_06s0080g00580,380
vit_04s0079g00710,381
vit_00s0271g00100,382
vit_18s0001g12000,383
vit_05s0049g00510,384
vit_06s0009g01140,385
vit_00s0240g00020,386
vit_07s0031g02350,387
vit_06s0004g06770,388
vit_04s0008g06320,389
vit_08s0007g08330,390
vit_04s0044g01520,391
vit_06s0004g01910,392
vit_07s0151g00200,393
vit_06s0004g06050,394
vit_19s0177g00100,395
vit_04s0023g02620,396
vit_14s0030g01740,397
vit_00s0373g00030,398
vit_18s0001g05770,399
vit_18s0001g14780,400
vit_02s0025g00020,401
vit_12s0035g00890,402
vit_12s0028g03900,403
vit_16s0050g01930,404
vit_01s0010g01680,405
vit_16s0050g00830,406
vit_18s0001g08800,407
vit_07s0104g00320,408
vit_18s0001g03580,409
vit_04s0008g05030,410
vit_18s0001g12110,411
vit_06s0004g07530,412
vit_15s0048g01400,413
vit_10s0003g00050,414
vit_17s0053g00080,415
vit_07s0141g00580,416
vit_03s0091g00260,417
vit_04s0044g02010,418
vit_06s0009g03450,419
vit_05s0020g01960,420
vit_06s0004g02160,421
vit_10s0003g01410,422
vit_16s0022g01440,423
vit_16s0022g01770,424
vit_08s0056g01480,425
vit_05s0102g00710,426
vit_14s0060g01090,427
vit_09s0018g01710,428
vit_02s0012g02180,429
vit_16s0013g00740,430
vit_01s0026g00690,431
vit_10s0042g00820,432
vit_00s0229g00120,433
vit_00s0261g00040,434
vit_15s0024g00820,435
vit_14s0060g02000,436
vit_13s0067g01410,437
vit_13s0019g04910,438
vit_18s0001g12880,439
vit_15s0024g00960<br>vit_05s0094g00980<br>vit_19s0014g03980<br>vit_14s0036g00820,440
vit_04s0023g00660,441
vit_14s0068g00090,442
vit_00s0229g00140,443
vit_13s0074g00390,444
vit_14s0108g00420,445
vit_05s0049g01170,446
vit_01s0010g01740,447
vit_07s0005g04380,448
vit_17s0000g01080,449
vit_16s0098g01150,450
vit_11s0052g00320,451
vit_17s0000g09270,452
vit_12s0035g01040,453
vit_17s0000g01750,454
vit_18s0001g11600,455
vit_00s0475g00020,456
vit_07s0005g04710,457
vit_08s0007g05020,458
vit_15s0046g03350,459
vit_15s0048g00740,460
vit_15s0021g00450,461
vit_05s0020g04120,462
vit_18s0001g11320,463
vit_04s0008g05820,464
vit_05s0102g00810,465
vit_04s0023g01110,466
vit_15s0046g00310,467
vit_15s0046g01510,468
vit_01s0026g02600,469
vit_07s0005g03170,470
vit_06s0004g05790,471
vit_01s0011g01560,472
vit_06s0080g00860,473
vit_13s0067g02950,474
vit_18s0122g00620,475
vit_07s0005g00090,476
vit_18s0122g00110,477
vit_17s0000g04140,478
vit_01s0026g00400,479
vit_14s0108g00890,480
vit_00s0477g00070,481
vit_02s0025g02290<br>vit_02s0025g02280<br>vit_02s0025g02300,482
vit_12s0059g00580,483
vit_02s0012g02810,484
vit_18s0001g11290,485
vit_18s0001g01940,486
vit_00s0640g00010,487
vit_06s0004g01130,488
vit_08s0040g02970,489
vit_14s0128g00190,490
vit_12s0028g01450,491
vit_18s0001g13750,492
vit_06s0061g01490,493
vit_14s0006g02660,494
vit_15s0021g00040,495
vit_05s0049g01020,496
vit_02s0025g02700,497
vit_19s0090g01570,498
vit_13s0067g00300<br>vit_13s0067g00130<br>vit_13s0067g00290,499
vit_14s0066g00960,500
vit_00s0269g00070,501
vit_14s0066g01600,502
vit_15s0046g03250,503
vit_04s0044g00210,504
vit_08s0007g05210,505
vit_05s0051g00640,506
vit_04s0008g00110,507
vit_05s0049g00550,508
vit_18s0001g01020,509
vit_14s0006g01580,510
vit_00s0199g00090,511
vit_19s0014g04770,512
vit_13s0019g02200,513
vit_17s0000g07720,514
vit_08s0007g05560,515
vit_07s0005g02710,516
vit_10s0003g03790,517
vit_00s0187g00240,518
vit_00s0301g00060,519
vit_05s0020g02540,520
vit_18s0001g08200,521
vit_02s0025g02620,522
vit_13s0047g01210,523
vit_18s0001g09850,524
vit_17s0000g01050,525
vit_14s0128g00540<br>vit_14s0128g00570<br>vit_14s0128g00600,526
vit_03s0091g00320,527
vit_17s0000g01000,528
vit_07s0005g02500,529
vit_07s0005g05660,530
vit_08s0058g00680,531
vit_06s0004g04860,532
vit_11s0016g04390,533
vit_13s0067g01650,534
vit_18s0001g08080,535
vit_15s0021g02770,536
vit_05s0051g00740,537
vit_18s0001g07240,538
vit_08s0007g03710,539
vit_01s0010g03800,540
vit_19s0014g05200,541
vit_16s0098g01230,542
vit_17s0000g04130,543
vit_16s0050g02680,544
vit_08s0007g03470,545
vit_12s0059g00220,546
vit_18s0117g00280,547
vit_14s0171g00370,548
vit_00s2342g00020<br>vit_00s0524g00040,549
vit_15s0046g00150,550
vit_19s0015g01220,551
vit_14s0066g00220,552
vit_07s0005g01700,553
vit_08s0032g00760,554
vit_19s0014g01780,555
vit_16s0115g00170,556
vit_04s0008g00470,557
vit_11s0016g02920,558
vit_13s0084g00120,559
vit_06s0004g07790,560
vit_10s0116g01810,561
vit_00s0163g00060,562
vit_05s0077g01980,563
vit_11s0016g03540,564
vit_07s0104g00970,565
vit_06s0004g00590,566
vit_00s2191g00010<br>vit_07s0005g06010<br>vit_00s2520g00010,567
vit_01s0011g00630,568
vit_16s0039g02470,569
vit_19s0015g02070,570
vit_01s0150g00240,571
vit_02s0012g02820,572
vit_14s0066g00790,573
