"key,""rank"""
vit_01s0137g00410,603
vit_16s0022g00070,604
vit_07s0191g00120,605
vit_03s0038g01960,606
vit_04s0044g00440,607
vit_19s0015g02530,608
vit_06s0004g04110,609
vit_10s0003g01370,610
vit_15s0048g00740,611
vit_06s0004g02570,612
vit_01s0011g04650,613
vit_11s0016g02540,614
vit_07s0005g00990,615
vit_00s0253g00040,616
vit_12s0059g00110<br>vit_12s0059g00080<br>vit_12s0059g00100,617
vit_01s0026g02590,618
vit_12s0134g00170,619
vit_10s0003g02960,620
vit_12s0059g01870,621
vit_08s0007g08330,622
vit_12s0028g00380,623
vit_05s0029g00690,624
vit_01s0127g00680,625
vit_08s0007g03710,626
vit_12s0059g00640,627
vit_15s0046g02620,628
vit_00s1937g00010,629
vit_07s0005g00680,630
vit_05s0094g00750,631
vit_08s0007g07320,632
vit_19s0014g04470,633
vit_17s0000g06730,634
vit_02s0012g00660,635
vit_11s0016g03200,636
vit_12s0059g02310,637
vit_01s0010g03510,638
vit_05s0020g02290,639
vit_18s0089g01040,640
vit_05s0049g00300,641
vit_08s0040g01190,642
vit_02s0109g00420,643
vit_08s0040g01170,644
vit_04s0044g01110,645
vit_19s0015g01400,646
vit_16s0022g02350,647
vit_00s0259g00010,648
vit_18s0001g00770,649
vit_18s0001g01730,650
vit_02s0025g02820,651
vit_17s0000g00300,652
vit_07s0005g00390,653
vit_16s0050g00870,654
vit_01s0010g03800,655
vit_06s0004g01550,656
vit_04s0023g01080,657
vit_08s0007g02000,658.5
vit_13s0067g02390,658.5
vit_11s0016g05300,660
vit_03s0038g02400,661
vit_04s0044g01860,662
vit_19s0014g04880,663
vit_18s0001g10050,664
vit_18s0075g00530,665
vit_05s0049g00510,666
vit_05s0020g02810,667
vit_18s0001g10320,668
vit_14s0081g00110,669
vit_16s0050g02430,670
vit_00s0271g00110,671
vit_08s0040g01130,672
vit_09s0054g00580<br>vit_09s0054g00570,673
vit_12s0028g03900,674
vit_08s0040g01640,675
vit_08s0105g00270,676
vit_04s0008g00520,677
vit_02s0012g00580,678
vit_07s0005g01230,679
vit_08s0007g08840,680
vit_02s0012g00180,681
vit_12s0028g03450,682
vit_10s0071g00170,683
vit_08s0007g01390,684
vit_05s0029g01420,685
vit_05s0020g01820,686
vit_15s0021g02690,687
vit_02s0025g00070,688
vit_04s0210g00090<br>vit_04s0210g00080<br>vit_04s0210g00120,689
vit_18s0075g00610,690
vit_07s0005g04920,691
vit_04s0069g01120,692
vit_03s0038g01830,693
vit_14s0068g01300,694
vit_02s0033g00370,695
vit_18s0122g01400,696
vit_03s0038g03810,697
vit_18s0001g01320,698
vit_16s0050g02100,699
vit_05s0102g01210,700
vit_07s0031g01810,701
vit_18s0117g00550,702
vit_02s0033g00440,703
vit_02s0012g02820,704
vit_06s0004g07920,705
vit_15s0046g02300,706
vit_06s0061g00240,707
vit_13s0019g02650,708
vit_03s0038g01280,709
vit_13s0067g02060,710
vit_09s0018g01650,711
vit_00s0361g00040,712
vit_07s0031g00700,713
vit_08s0007g07990,714
vit_03s0091g00520,715
vit_14s0171g00390,716
vit_02s0025g03100,717
vit_06s0004g05730,718
vit_14s0066g00300,719
vit_11s0016g04540,720
vit_04s0023g01300,721
vit_15s0046g02380,722
vit_07s0031g01680,723
vit_05s0062g00570,724
vit_06s0004g02390,725
vit_00s1995g00010,726
vit_16s0039g02230,727
vit_04s0023g01590,728
vit_18s0001g10060,729
vit_01s0137g00170,730
vit_14s0108g01660,731
vit_08s0007g08010,732
vit_02s0087g00140,733
vit_06s0061g01300,734
vit_00s0333g00040,735
vit_17s0000g03940,736
vit_17s0000g02920,737
vit_00s0361g00090,738
vit_08s0007g03990,739
vit_04s0044g01260,740
vit_00s0639g00010,741
vit_00s1190g00010<br>vit_00s0936g00010,742
vit_15s0021g02510,743
vit_15s0048g01600,744
vit_17s0000g07530,745
vit_17s0000g01660,746
vit_08s0056g00260,747
vit_15s0107g00240,748
vit_00s0820g00020,749
vit_18s0041g00100,750
vit_13s0019g03490,751
vit_13s0064g01660,752
vit_08s0007g08280,753
vit_01s0127g00340,754
vit_01s0011g05110,755
vit_14s0068g02040,756
vit_01s0010g02230,757
vit_14s0081g00140,758
vit_18s0001g02790,759
vit_17s0000g07830,760
vit_14s0030g01650,761
vit_03s0063g00410,762
vit_13s0067g02810,763
vit_13s0067g01350,764
vit_04s0008g01120,765
vit_18s0041g00840,766
vit_17s0000g08460,767
vit_08s0007g05180,768
vit_09s0002g00790,769
vit_06s0009g02780,770
vit_15s0046g01600,771
vit_05s0020g01100,772
vit_06s0080g00050,773
vit_07s0031g02440,774
vit_13s0019g04520,775
vit_19s0090g01050,776
vit_14s0128g00210,777
vit_14s0068g00520,778
vit_14s0083g00850,779
vit_19s0015g00590,780
vit_05s0077g01450,781
vit_08s0007g02700,782
vit_04s0023g03370,783
vit_11s0037g01410,784
vit_11s0016g05910,785
vit_19s0027g00740,786
vit_05s0051g00980,787
vit_11s0016g05230,788
vit_05s0049g00010,789
vit_11s0206g00050<br>vit_11s0149g00410,790
vit_09s0054g00680,791
vit_01s0011g00790,792
vit_14s0066g01320,793
vit_18s0001g13080,794
vit_11s0016g03660,795
vit_09s0002g02630,796
vit_08s0007g08020,797
vit_10s0003g05420,798
vit_06s0004g06790,799
vit_09s0002g01010,800
vit_02s0025g04910,801
vit_00s0409g00020,802
vit_04s0008g01900,803
vit_18s0122g01440,804
vit_08s0007g08110,805
vit_19s0014g03380,806
vit_18s0001g10120,807
vit_04s0023g00600,808
vit_10s0071g00030,809
vit_00s0199g00240,810
vit_17s0000g07680,811
vit_00s0823g00020<br>vit_00s0670g00020,812
vit_12s0059g00140,813
vit_18s0001g07760,814
vit_05s0124g00100,815
vit_05s0124g00330,816
vit_07s0005g02220,817
vit_13s0064g01640,818
vit_01s0010g02530,819
vit_16s0098g00990,820
vit_04s0044g00190,821
vit_09s0054g00960,822
vit_04s0044g00010,823
vit_18s0075g00670,824
vit_01s0011g02250,825
vit_07s0031g01550,826
vit_12s0142g00550,827
vit_02s0025g03570,828
vit_18s0072g01040,829
vit_08s0007g08680,830
vit_10s0003g02120,831
vit_00s0245g00030,832
vit_03s0091g00260,833
vit_04s0008g01450,834
vit_14s0060g00410,835
vit_19s0014g00780,836
vit_01s0010g01870,837
vit_08s0032g00530,838
vit_05s0062g01140,839
vit_14s0006g00570,840
vit_00s0561g00010,841
vit_11s0016g02120,842
vit_06s0061g01050,843
vit_08s0007g07100,844
vit_00s0286g00040,845
vit_11s0016g05340,846.5
vit_08s0032g00760,846.5
vit_05s0029g00630,848
vit_01s0011g05140,849
vit_12s0034g00010,850
vit_13s0019g05140,851
vit_12s0034g02570,852
vit_01s0026g02110,853
vit_14s0068g00150,854
vit_12s0059g01820,855
vit_09s0002g00190,856
vit_16s0098g01740,857
vit_14s0006g00800,858
vit_07s0005g03170,859
vit_14s0060g01980,860
vit_01s0010g03880,861
vit_12s0134g00090,862
vit_05s0049g00840<br>vit_05s0049g00780<br>vit_05s0049g00800,863
vit_13s0019g04970,864
vit_16s0039g01940,865
vit_18s0075g00360,866
vit_04s0008g02920,867
vit_15s0048g01590,868
vit_18s0001g10440,869
vit_18s0001g06150,870
vit_08s0007g03470,871
vit_03s0091g00690,872
